Animal.ID,Net.Urine,Vol.Gavaged.ml,lactulose.in.mg.per.ml,mannitol.in.mg.per.ml,Lactulose.mg.per.ml,Mannitol.mg.per.ml,Lactulose.F.E.,Mannitol.F.E.,Lac.Man.ratio
FM1005A,2,0.2,60,40,0.0198,0.034,0.0033,0.0085,0.388235294
FM1005B,2,0.2,60,40,0.0267,0.045,0.00445,0.01125,0.395555556
FM1008A,2,0.2,60,40,0.0367,0.055,0.006116667,0.01375,0.444848485
FM1008B,2,0.2,60,40,0.0205,0.0336,0.003416667,0.0084,0.406746032
FM1101A,2,0.2,60,40,0.0148,0.0368,0.002466667,0.0092,0.268115942
FM1101B,2,0.2,60,40,0.026,0.0699,0.004333333,0.017475,0.247973295
HEU097GA,2,0.2,60,40,0.0499,0.0883,0.049823984,0.09129873,0.545724833
HEU097GB,2,0.2,60,40,0.0192,0.0596,0.018192832,0.031987237,0.568752832
HEU001GA,2,0.2,60,40,0.084,0.0977,0.014,0.024425,0.573183214
HEU001GB,2,0.2,60,40,0.0507,0.0619,0.00845,0.015475,0.546042003
HEU087GA,2,0.2,60,40,0.2277,0.167,0.03795,0.04175,0.908982036
HEU087GB,2,0.2,60,40,0.0207,0.0183,0.00345,0.004575,0.754098361